name,type,ownership,authority,status,longitude,latitude,F15Regions,DName2016,CName2016,SName2016,scode,costituenc,d,c,s,p,pc2016,mpopn,fpopn,SexRatio,tpopn,hf_id
Kakiri HC III,HC III,Government,MOH,Functional,32.38977,0.41943,GREATER KAMPALA,WAKISO,BUSIRO,KAKIRI TOWN COUNCIL,113103,BUSIRO COUNTY NORTH,WAKISO,BUSIRO,KAKIRI TOWN COUNCIL,KAKIRI WARD,11310303,2028,2329.0,87.1,4357.0,HF0880
Nadangira HC III,HC III,Private Not For Profit,UCMB,,32.38416,0.41469,GREATER KAMPALA,WAKISO,BUSIRO,KAKIRI TOWN COUNCIL,113103,BUSIRO COUNTY NORTH,WAKISO,BUSIRO,KAKIRI TOWN COUNCIL,KAKIRI WARD,11310303,2028,2329.0,87.1,4357.0,HF0881
Nampunge HC II,HC III,Private Not For Profit,,Functional,32.32531,0.47637,GREATER KAMPALA,WAKISO,BUSIRO,KAKIRI,113102,BUSIRO COUNTY NORTH,WAKISO,BUSIRO,KAKIRI,NAMPUNGE,11310208,2729,2718.0,100.4,5447.0,HF0882
Luwunga Barracks HC IV,HC IV,,Army,,32.40523,0.40431,GREATER KAMPALA,WAKISO,BUSIRO,KAKIRI,113102,BUSIRO COUNTY NORTH,WAKISO,BUSIRO,KAKIRI,LUWUNGA,11310202,3182,2956.0,107.6,6138.0,HF0883
Kasanje HC III,HC III,Government,MOH,Functional,32.3996,0.15086,GREATER KAMPALA,WAKISO,BUSIRO,KASANJE,113104,BUSIRO COUNTY SOUTH,WAKISO,BUSIRO,KASANJE,KASANJE,11310403,3141,3175.0,98.9,6316.0,HF0884
Buyege HC III,HC III,Private Not For Profit,UCMB,Functional,32.38519,0.14312,GREATER KAMPALA,WAKISO,BUSIRO,KASANJE,113104,BUSIRO COUNTY SOUTH,WAKISO,BUSIRO,KASANJE,KASANJE,11310403,3141,3175.0,98.9,6316.0,HF0885
Abaita Medical Centre Clinic,Clinic,Private For Profit,Local Government,Functional,32.50057,0.09262,GREATER KAMPALA,WAKISO,BUSIRO,KATABI  TOWN COUNCIL,113105,BUSIRO COUNTY SOUTH,WAKISO,BUSIRO,KATABI TOWN COUNCIL,KABALE,11310501,11526,12950.0,89.0,24476.0,HF0886
Kisubi HOSPITAL,General Hospital,Private Not For Profit,UCMB,Functional,32.5369,0.1218,GREATER KAMPALA,WAKISO,BUSIRO,KATABI  TOWN COUNCIL,113105,BUSIRO COUNTY SOUTH,WAKISO,BUSIRO,KATABI TOWN COUNCIL,KISUBI,11310502,12027,13494.0,89.1,25521.0,HF0887
St. Luke Nkumba HC II,HC II,Private Not For Profit,,Functional,32.51697,0.06893,GREATER KAMPALA,WAKISO,BUSIRO,KATABI  TOWN COUNCIL,113105,BUSIRO COUNTY SOUTH,WAKISO,BUSIRO,KATABI TOWN COUNCIL,NKUMBA,11310505,12516,14059.0,89.0,26575.0,HF0888
Uganda Martyrs HOSPITAL,General Hospital,Private Not For Profit,Local Government,Functional,32.653,0.37667,GREATER KAMPALA,WAKISO,KIRA MUNICIPALITY,NAMUGONGO DIVISION,113303,KIRA MUNICIPALITY,WAKISO,KIRA MUNICIPALITY,NAMUGONGO DIVISION,KYALIWAJALA,11330302,23803,28118.0,84.7,51921.0,HF0889
Bweyogerere HC III,HC II,Government,MOH,Functional,32.677874,0.358693,GREATER KAMPALA,WAKISO,KIRA MUNICIPALITY,BWEYOGERERE DIVISION,113301,KIRA MUNICIPALITY,WAKISO,KIRA MUNICIPALITY,BWEYOGERERE DIVISION,BWEYOGERERE,11330101,27561,31118.0,88.6,58679.0,HF0890
Kimwanyi HC II,HC II,Government,MOH,Functional,32.6456,0.4678,GREATER KAMPALA,WAKISO,KIRA MUNICIPALITY,KIRA DIVISION,113302,KIRA MUNICIPALITY,WAKISO,KIRA MUNICIPALITY,KIRA DIVISION,KIMWANYI,11330202,6645,6816.0,97.5,13461.0,HF0891
Kirinya HC II,HC II,Government,MOH,Functional,32.66896,0.33204,GREATER KAMPALA,WAKISO,KIRA MUNICIPALITY,BWEYOGERERE DIVISION,113301,KIRA MUNICIPALITY,WAKISO,KIRA MUNICIPALITY,BWEYOGERERE DIVISION,KIRINYA,11330105,22655,25508.0,88.8,48163.0,HF0892
Zia Angelina HC II,HC II,Private Not For Profit,UCMB,Functional,32.65428,0.38781,GREATER KAMPALA,WAKISO,KIRA MUNICIPALITY,NAMUGONGO DIVISION,113303,KIRA MUNICIPALITY,WAKISO,KIRA MUNICIPALITY,NAMUGONGO DIVISION,KYALIWAJALA,11330302,23803,28118.0,84.7,51921.0,HF0893
Well Spring HC II,HC II,Private Not For Profit,,Functional,32.643929,0.357184,GREATER KAMPALA,WAKISO,KIRA MUNICIPALITY,NAMUGONGO DIVISION,113303,KIRA MUNICIPALITY,WAKISO,KIRA MUNICIPALITY,NAMUGONGO DIVISION,KIREKA,11330301,45834,52061.0,88.0,97895.0,HF0894
Kira HC III,HC III,Government,MOH,Functional,32.64043,0.39813,GREATER KAMPALA,WAKISO,KIRA MUNICIPALITY,KIRA DIVISION,113302,KIRA MUNICIPALITY,WAKISO,KIRA MUNICIPALITY,KIRA DIVISION,KIRA,11330203,22433,24605.0,91.2,47038.0,HF0895
Foyer De Charity HC III,HC III,Private Not For Profit,UCMB,Non Functional,32.65512,0.39262,GREATER KAMPALA,WAKISO,KIRA MUNICIPALITY,NAMUGONGO DIVISION,113303,KIRA MUNICIPALITY,WAKISO,KIRA MUNICIPALITY,NAMUGONGO DIVISION,KYALIWAJALA,11330302,23803,28118.0,84.7,51921.0,HF0896
Bweyogerere Hassan Turabi. HC III,HC III,Private Not For Profit,UMMB,Functional,32.66667,0.36811,GREATER KAMPALA,WAKISO,KIRA MUNICIPALITY,BWEYOGERERE DIVISION,113301,KIRA MUNICIPALITY,WAKISO,KIRA MUNICIPALITY,BWEYOGERERE DIVISION,BWEYOGERERE,11330101,27561,31118.0,88.6,58679.0,HF0897
Bweyogerere SDA HC III,HC III,Private Not For Profit,,Functional,32.66667,0.36811,GREATER KAMPALA,WAKISO,KIRA MUNICIPALITY,BWEYOGERERE DIVISION,113301,KIRA MUNICIPALITY,WAKISO,KIRA MUNICIPALITY,BWEYOGERERE DIVISION,BWEYOGERERE,11330101,27561,31118.0,88.6,58679.0,HF0898
Ggwatiro Nursing Home HC III,HC III,Private Not For Profit,,Functional,32.66144,0.35456,GREATER KAMPALA,WAKISO,KIRA MUNICIPALITY,BWEYOGERERE DIVISION,113301,KIRA MUNICIPALITY,WAKISO,KIRA MUNICIPALITY,BWEYOGERERE DIVISION,BWEYOGERERE,11330101,27561,31118.0,88.6,58679.0,HF0899
Jjanda HC III,HC III,Private Not For Profit,,Functional,32.66372,0.40867,GREATER KAMPALA,WAKISO,KIRA MUNICIPALITY,KIRA DIVISION,113302,KIRA MUNICIPALITY,WAKISO,KIRA MUNICIPALITY,KIRA DIVISION,KIRA,11330203,22433,24605.0,91.2,47038.0,HF0900
Kireka SDA HC III,HC III,Private Not For Profit,,Functional,32.643929,0.357184,GREATER KAMPALA,WAKISO,KIRA MUNICIPALITY,NAMUGONGO DIVISION,113303,KIRA MUNICIPALITY,WAKISO,KIRA MUNICIPALITY,NAMUGONGO DIVISION,KIREKA,11330301,45834,52061.0,88.0,97895.0,HF0901
Nagawa HC III-NR,HC III,Private Not For Profit,,Functional,32.643929,0.357184,GREATER KAMPALA,WAKISO,KIRA MUNICIPALITY,NAMUGONGO DIVISION,113303,KIRA MUNICIPALITY,WAKISO,KIRA MUNICIPALITY,NAMUGONGO DIVISION,KIREKA,11330301,45834,52061.0,88.0,97895.0,HF0902
Kyengeza HC II,HC II,Government,MOH,Functional,32.32001,0.49716,GREATER KAMPALA,WAKISO,BUSIRO,MASULIITA,113106,BUSIRO COUNTY NORTH,WAKISO,BUSIRO,MASULITA,BBALE-MUKWENDA,11310601,772,615.0,125.5,1387.0,HF0903
Lugungudde HC II,HC II,Government,MOH,Functional,32.34343,0.53488,GREATER KAMPALA,WAKISO,BUSIRO,MASULITA TOWN COUNCIL,113107,BUSIRO COUNTY NORTH,WAKISO,BUSIRO,MASULITA TOWN COUNCIL,LUGUNGUDDE,11310704,883,811.0,108.9,1694.0,HF0904
Kanzize - Kyondo HC II,HC II,Government,MOH,,32.36011,0.55667,GREATER KAMPALA,WAKISO,BUSIRO,MASULITA TOWN COUNCIL,113107,BUSIRO COUNTY NORTH,WAKISO,BUSIRO,MASULITA TOWN COUNCIL,KANZIZE,11310702,1575,1591.0,99.0,3166.0,HF0905
Busawamanze HC III,HC III,Government,Local Government,Functional,32.43266,0.53789,GREATER KAMPALA,WAKISO,BUSIRO,MASULIITA,113106,BUSIRO COUNTY NORTH,WAKISO,BUSIRO,MASULITA,MANZE,11310604,745,774.0,96.3,1519.0,HF0906
Kiziba HC III,HC III,Government,MOH,Functional,32.366431,0.509197,GREATER KAMPALA,WAKISO,BUSIRO,MASULITA TOWN COUNCIL,113107,BUSIRO COUNTY NORTH,WAKISO,BUSIRO,MASULITA TOWN COUNCIL,MASULITA WARD,11310705,2515,2532.0,99.3,5047.0,HF0907
Kiziba Catholic/Kiziba St. Ulrika HC III,HC III,Private Not For Profit,UCMB,Functional,32.36704,0.50478,GREATER KAMPALA,WAKISO,BUSIRO,MASULITA TOWN COUNCIL,113107,BUSIRO COUNTY NORTH,WAKISO,BUSIRO,MASULITA TOWN COUNCIL,MASULITA WARD,11310705,2515,2532.0,99.3,5047.0,HF0908
Bulondo HC III,HC III,Government,MOH,Functional,32.43207,0.46028,GREATER KAMPALA,WAKISO,BUSIRO,MENDE,113108,BUSIRO COUNTY EAST,WAKISO,BUSIRO,MENDE,BAKKA,11310801,3129,3242.0,96.5,6371.0,HF0909
Mende HC III,HC III,Government,MOH,Functional,32.43214,0.4602,GREATER KAMPALA,WAKISO,BUSIRO,MENDE,113108,BUSIRO COUNTY EAST,WAKISO,BUSIRO,MENDE,BAKKA,11310801,3129,3242.0,96.5,6371.0,HF0910
Maganjo HC II,HC II,Government,MOH,Functional,32.55016,0.3892,GREATER KAMPALA,WAKISO,NANSANA MUNICIPALITY,NABWERU DIVISION,113603,NANSANA MUNICIPALITY,WAKISO,NANSANA MUNICIPALITY,NABWERU DIVISION,MAGANJO,11360302,21148,24699.0,85.6,45847.0,HF0911
Nassolo Wamala HC II,HC II,Government,MOH,Functional,32.53651,0.37927,GREATER KAMPALA,WAKISO,NANSANA MUNICIPALITY,NABWERU DIVISION,113603,NANSANA MUNICIPALITY,WAKISO,NANSANA MUNICIPALITY,NABWERU DIVISION,WAMALA,11360304,18584,20989.0,88.5,39573.0,HF0912
Jinja Karoli HC II,HC II,Private Not For Profit,UCMB,Functional,32.54638,0.38536,GREATER KAMPALA,WAKISO,NANSANA MUNICIPALITY,NABWERU DIVISION,113603,NANSANA MUNICIPALITY,WAKISO,NANSANA MUNICIPALITY,NABWERU DIVISION,MAGANJO,11360302,21148,24699.0,85.6,45847.0,HF0913
St. Luke Medical Centre HC II,HC II,Private Not For Profit,,Functional,32.54581,0.50131,GREATER KAMPALA,WAKISO,NANSANA MUNICIPALITY,GOMBE DIVISION,113602,NANSANA MUNICIPALITY,WAKISO,NANSANA MUNICIPALITY,GOMBE DIVISION,BUWAMBO,11360201,5097,5213.0,97.8,10310.0,HF0914
Kawanda HC III,HC III,Government,MOH,Functional,32.531388,0.417565,GREATER KAMPALA,WAKISO,NANSANA MUNICIPALITY,NABWERU DIVISION,113603,NANSANA MUNICIPALITY,WAKISO,NANSANA MUNICIPALITY,NABWERU DIVISION,KAWANDA,11360301,5211,5589.0,93.2,10800.0,HF0915
Nakitokolo Namayumba HC II,HC II,,Local Government,Functional,32.20969,0.51948,GREATER KAMPALA,WAKISO,BUSIRO,NAMAYUMBA,113109,BUSIRO COUNTY NORTH,WAKISO,BUSIRO,NAMAYUMBA,KITAYITA,11310904,1801,1601.0,112.5,3402.0,HF0916
Kibujjo HC II,HC II,Government,MOH,Functional,32.28492,0.44456,GREATER KAMPALA,WAKISO,BUSIRO,NAMAYUMBA,113109,BUSIRO COUNTY NORTH,WAKISO,BUSIRO,NAMAYUMBA,BBEMBE,11310901,1994,1967.0,101.4,3961.0,HF0917
Kitalya Prison HC II,HC II,Government,Prisons,Functional,32.23169,0.43703,GREATER KAMPALA,WAKISO,BUSIRO,NAMAYUMBA,113109,BUSIRO COUNTY NORTH,WAKISO,BUSIRO,NAMAYUMBA,KYASA,11310905,2260,1193.0,189.4,3453.0,HF0918
Namayumba HC IV,HC IV,Government,MOH,Functional,32.26561,0.52163,GREATER KAMPALA,WAKISO,BUSIRO,NAMAYUMBA TOWN COUNCIL,113110,BUSIRO COUNTY NORTH,WAKISO,BUSIRO,NAMAYUMBA TOWN COUNCIL,LUGUZI,11311003,2975,3169.0,93.9,6144.0,HF0919
Taqwa HC III,Clinic,Private For Profit,UMMB,Functional,32.54295,0.43566,GREATER KAMPALA,WAKISO,KYADONDO,KASANGATI TOWN COUNCIL,113406,KYADONDO COUNTY EAST,WAKISO,KYADONDO,KASANGATI TOWN COUNCIL,WATTUBA,11340609,6549,7150.0,91.6,13699.0,HF0920
Saidina Abubakar Islamic HOSPITAL,General Hospital,Private Not For Profit,UMMB,Functional,32.53495,0.43534,GREATER KAMPALA,WAKISO,KYADONDO,KASANGATI TOWN COUNCIL,113406,KYADONDO COUNTY EAST,WAKISO,KYADONDO,KASANGATI TOWN COUNCIL,WATTUBA,11340609,6549,7150.0,91.6,13699.0,HF0921
Namalere HC II,HC II,Government,MOH,Functional,32.55488,0.42802,GREATER KAMPALA,WAKISO,KYADONDO,KASANGATI TOWN COUNCIL,113406,KYADONDO COUNTY EAST,WAKISO,KYADONDO,KASANGATI TOWN COUNCIL,WATTUBA,11340609,6549,7150.0,91.6,13699.0,HF0922
Kabubbu HC II,HC III,Private Not For Profit,MOH,Functional,32.65687,0.49757,GREATER KAMPALA,WAKISO,KYADONDO,KASANGATI TOWN COUNCIL,113406,KYADONDO COUNTY EAST,WAKISO,KYADONDO,KASANGATI TOWN COUNCIL,KABUBBU,11340603,6730,7075.0,95.1,13805.0,HF0923
Watubba HC III,HC III,Government,MOH,Functional,32.53923,0.44065,GREATER KAMPALA,WAKISO,KYADONDO,KASANGATI TOWN COUNCIL,113406,KYADONDO COUNTY EAST,WAKISO,KYADONDO,KASANGATI TOWN COUNCIL,WATTUBA,11340609,6549,7150.0,91.6,13699.0,HF0924
Mirembe HC III,HC III,Private Not For Profit,,Functional,32.55369,0.439,GREATER KAMPALA,WAKISO,KYADONDO,KASANGATI TOWN COUNCIL,113406,KYADONDO COUNTY EAST,WAKISO,KYADONDO,KASANGATI TOWN COUNCIL,WATTUBA,11340609,6549,7150.0,91.6,13699.0,HF0925
Kasangati HC IV,HC IV,Government,MOH,Functional,32.60107,0.43513,GREATER KAMPALA,WAKISO,KYADONDO,KASANGATI TOWN COUNCIL,113406,KYADONDO COUNTY EAST,WAKISO,KYADONDO,KASANGATI TOWN COUNCIL,WAMPEEWO,11340608,12327,14407.0,85.6,26734.0,HF0926
Nansana HC II,HC II,Government,MOH,Functional,32.53479,0.35362,GREATER KAMPALA,WAKISO,NANSANA MUNICIPALITY,NANSANA DIVISION,113604,NANSANA MUNICIPALITY,WAKISO,NANSANA MUNICIPALITY,NANSANA DIVISION,NANSANA WEST WARD,11360406,10949,13390.0,81.8,24339.0,HF0927
Nabweru HC III,HC III,Government,MOH,Functional,32.54516,0.35724,GREATER KAMPALA,WAKISO,NANSANA MUNICIPALITY,NANSANA DIVISION,113604,NANSANA MUNICIPALITY,WAKISO,NANSANA MUNICIPALITY,NANSANA DIVISION,NABWERU SOUTH WARD,11360404,8976,10410.0,86.2,19386.0,HF0928
Crane Health Care,Clinic,Private For Profit,,Functional,32.50266,0.2939,GREATER KAMPALA,WAKISO,BUSIRO,KYENGERA TOWN COUNCIL,113111,BUSIRO COUNTY EAST,WAKISO,BUSIRO,KYENGERA TOWN COUNCIL,KYENGERA,11311106,17656,20235.0,87.3,37891.0,HF0929
Kasenge HC II,HC II,Government,MOH,Functional,32.507608,0.261123,GREATER KAMPALA,WAKISO,BUSIRO,KYENGERA TOWN COUNCIL,113111,BUSIRO COUNTY EAST,WAKISO,BUSIRO,KYENGERA TOWN COUNCIL,KASENGE,11311102,22176,24842.0,89.3,47018.0,HF0930
Kyengera HC II,HC II,Government,MOH,Functional,32.49891,0.29525,GREATER KAMPALA,WAKISO,BUSIRO,KYENGERA TOWN COUNCIL,113111,BUSIRO COUNTY EAST,WAKISO,BUSIRO,KYENGERA TOWN COUNCIL,KYENGERA,11311106,17656,20235.0,87.3,37891.0,HF0931
Nakitokolo HC II,HC II,Government,MOH,Functional,32.46066,0.29427,GREATER KAMPALA,WAKISO,BUSIRO,KYENGERA TOWN COUNCIL,113111,BUSIRO COUNTY EAST,WAKISO,BUSIRO,KYENGERA TOWN COUNCIL,KISOZI/KITEMU,11311105,9779,10993.0,89.0,20772.0,HF0932
Muzinda Katereke HC II,HC II,Private Not For Profit,UCMB,Functional,32.43297,0.29492,GREATER KAMPALA,WAKISO,BUSIRO,KYENGERA TOWN COUNCIL,113111,BUSIRO COUNTY EAST,WAKISO,BUSIRO,KYENGERA TOWN COUNCIL,KATEREKE,11311103,2889,3026.0,95.5,5915.0,HF0933
Nabbingo HC II,HC II,Private Not For Profit,UCMB,Functional,32.48032,0.28982,GREATER KAMPALA,WAKISO,BUSIRO,KYENGERA TOWN COUNCIL,113111,BUSIRO COUNTY EAST,WAKISO,BUSIRO,KYENGERA TOWN COUNCIL,NABBINGO,11311108,8403,9699.0,86.6,18102.0,HF0934
Besusebba HC II,HC II,Private Not For Profit,,Functional,32.45515,0.28694,GREATER KAMPALA,WAKISO,BUSIRO,KYENGERA TOWN COUNCIL,113111,BUSIRO COUNTY EAST,WAKISO,BUSIRO,KYENGERA TOWN COUNCIL,NSANGI,11311110,6767,7641.0,88.6,14408.0,HF0935
Crane Services HC II,HC II,Private Not For Profit,,Functional,32.45935,0.26414,GREATER KAMPALA,WAKISO,BUSIRO,KYENGERA TOWN COUNCIL,113111,BUSIRO COUNTY EAST,WAKISO,BUSIRO,KYENGERA TOWN COUNCIL,NSANGI,11311110,6767,7641.0,88.6,14408.0,HF0936
Muvubuka Agunjuse HC II,HC II,Private Not For Profit,,Functional,32.45454,0.28934,GREATER KAMPALA,WAKISO,BUSIRO,KYENGERA TOWN COUNCIL,113111,BUSIRO COUNTY EAST,WAKISO,BUSIRO,KYENGERA TOWN COUNCIL,KATEREKE,11311103,2889,3026.0,95.5,5915.0,HF0937
Nsangi HC III,HC III,Government,MOH,Functional,32.45931,0.2732,GREATER KAMPALA,WAKISO,BUSIRO,KYENGERA TOWN COUNCIL,113111,BUSIRO COUNTY EAST,WAKISO,BUSIRO,KYENGERA TOWN COUNCIL,NSANGI,11311110,6767,7641.0,88.6,14408.0,HF0938
St. Apolo HC III,Clinic,Private Not For Profit,,Functional,32.581496,0.264725,GREATER KAMPALA,WAKISO,MAKINDYE SSABAGABO MUNICIPALITY,MASAJJA DIVISION,113502,MAKINDYE-SSABAGABO MUNICIPALITY,WAKISO,SSABAGABO-MAKINDYE MUNICIPALITY,MASAJJA DIVISION,MASAJJA,11350202,22638,25608.0,88.4,48246.0,HF0939
Mildmay Uganda HOSPITAL,General Hospital,Private Not For Profit,,Functional,32.548866,0.229957,GREATER KAMPALA,WAKISO,MAKINDYE SSABAGABO MUNICIPALITY,NDEJJE DIVISION,113503,MAKINDYE-SSABAGABO MUNICIPALITY,WAKISO,SSABAGABO-MAKINDYE MUNICIPALITY,NDEJJE DIVISION,SEGUKU,11350303,9183,10419.0,88.1,19602.0,HF0940
Bunamwaya HC II,HC II,Government,MOH,Functional,32.5479,0.26099,GREATER KAMPALA,WAKISO,MAKINDYE SSABAGABO MUNICIPALITY,BUNAMWAYA DIVISION,113501,MAKINDYE-SSABAGABO MUNICIPALITY,WAKISO,SSABAGABO-MAKINDYE MUNICIPALITY,BUNAMWAYA DIVISION,BUNAMWAYA,11350101,14903,17646.0,84.5,32549.0,HF0941
Mutundwe HC II,HC II,Government,MOH,Functional,32.53501,0.27265,GREATER KAMPALA,WAKISO,MAKINDYE SSABAGABO MUNICIPALITY,BUNAMWAYA DIVISION,113501,MAKINDYE-SSABAGABO MUNICIPALITY,WAKISO,SSABAGABO-MAKINDYE MUNICIPALITY,BUNAMWAYA DIVISION,MUTUNDWE,11350102,18830,21154.0,89.0,39984.0,HF0942
Seguku HC II,HC II,Government,MOH,Functional,32.54867,0.23124,GREATER KAMPALA,WAKISO,MAKINDYE SSABAGABO MUNICIPALITY,NDEJJE DIVISION,113503,MAKINDYE-SSABAGABO MUNICIPALITY,WAKISO,SSABAGABO-MAKINDYE MUNICIPALITY,NDEJJE DIVISION,SEGUKU,11350303,9183,10419.0,88.1,19602.0,HF0943
ATOM MEDICAL CENTRE,HC II,Private Not For Profit,,Functional,32.54348,0.23022,GREATER KAMPALA,WAKISO,MAKINDYE SSABAGABO MUNICIPALITY,NDEJJE DIVISION,113503,MAKINDYE-SSABAGABO MUNICIPALITY,WAKISO,SSABAGABO-MAKINDYE MUNICIPALITY,NDEJJE DIVISION,SEGUKU,11350303,9183,10419.0,88.1,19602.0,HF0944
St. Magdalene HC II,HC II,Private Not For Profit,,Functional,32.57373,0.24034,GREATER KAMPALA,WAKISO,MAKINDYE SSABAGABO MUNICIPALITY,NDEJJE DIVISION,113503,MAKINDYE-SSABAGABO MUNICIPALITY,WAKISO,SSABAGABO-MAKINDYE MUNICIPALITY,NDEJJE DIVISION,NDEJJE,11350302,23660,27669.0,85.5,51329.0,HF0945
Lufuka Valley HC III,HC III,Private Not For Profit,MOH,Functional,32.56815,0.26008,GREATER KAMPALA,WAKISO,MAKINDYE SSABAGABO MUNICIPALITY,BUNAMWAYA DIVISION,113501,MAKINDYE-SSABAGABO MUNICIPALITY,WAKISO,SSABAGABO-MAKINDYE MUNICIPALITY,BUNAMWAYA DIVISION,BUNAMWAYA,11350101,14903,17646.0,84.5,32549.0,HF0946
Masajja Kyabagu HC III,HC III,Private For Profit,,Functional,32.581496,0.264725,GREATER KAMPALA,WAKISO,MAKINDYE SSABAGABO MUNICIPALITY,MASAJJA DIVISION,113502,MAKINDYE-SSABAGABO MUNICIPALITY,WAKISO,SSABAGABO-MAKINDYE MUNICIPALITY,MASAJJA DIVISION,MASAJJA,11350202,22638,25608.0,88.4,48246.0,HF0947
Ndejje HC IV,HC IV,Government,MOH,Functional,32.5789,0.24284,GREATER KAMPALA,WAKISO,MAKINDYE SSABAGABO MUNICIPALITY,NDEJJE DIVISION,113503,MAKINDYE-SSABAGABO MUNICIPALITY,WAKISO,SSABAGABO-MAKINDYE MUNICIPALITY,NDEJJE DIVISION,NDEJJE,11350302,23660,27669.0,85.5,51329.0,HF0948
Kitende Cbhc HC II,HC II,Private Not For Profit,CSO,Functional,32.5385,0.18639,GREATER KAMPALA,WAKISO,BUSIRO,KAJJANSI TOWN COUNCIL,113112,BUSIRO COUNTY SOUTH,WAKISO,BUSIRO,KAJJANSI TOWN COUNCIL,KITENDE,11311203,13285,15153.0,87.7,28438.0,HF0949
Nsaggu HC II,HC II,Government,MOH,Functional,32.488,0.21983,GREATER KAMPALA,WAKISO,BUSIRO,KAJJANSI TOWN COUNCIL,113112,BUSIRO COUNTY SOUTH,WAKISO,BUSIRO,KAJJANSI TOWN COUNCIL,NSAGGU,11311209,2169,2109.0,102.8,4278.0,HF0950
Kajjansi Clays HC II,HC II,Private Not For Profit,,Functional,32.518646,0.199712,GREATER KAMPALA,WAKISO,BUSIRO,KAJJANSI TOWN COUNCIL,113112,BUSIRO COUNTY SOUTH,WAKISO,BUSIRO,KAJJANSI TOWN COUNCIL,KITENDE,11311203,13285,15153.0,87.7,28438.0,HF0951
Kajjansi HC III,HC III,Government,MOH,Functional,32.537661,0.21056,GREATER KAMPALA,WAKISO,BUSIRO,KAJJANSI TOWN COUNCIL,113112,BUSIRO COUNTY SOUTH,WAKISO,BUSIRO,KAJJANSI TOWN COUNCIL,KITENDE,11311203,13285,15153.0,87.7,28438.0,HF0952
Nakawuka HC III,HC III,Government,MOH,Functional,32.46226,0.19363,GREATER KAMPALA,WAKISO,BUSIRO,KAJJANSI TOWN COUNCIL,113112,BUSIRO COUNTY SOUTH,WAKISO,BUSIRO,KAJJANSI TOWN COUNCIL,NAKAWUKA,11311204,3532,3671.0,96.2,7203.0,HF0953
Kyebando Nursing Home HC II,HC II,Private Not For Profit,CSO,Functional,32.51147,0.36433,GREATER KAMPALA,WAKISO,BUSIRO,WAKISO,113113,BUSIRO COUNTY EAST,WAKISO,BUSIRO,WAKISO,KYEBANDO,11311303,28601,32450.0,88.1,61051.0,HF0954
Bbira HC II,HC II,Private Not For Profit,,Functional,32.49842,0.32855,GREATER KAMPALA,WAKISO,BUSIRO,WAKISO,113113,BUSIRO COUNTY EAST,WAKISO,BUSIRO,WAKISO,NAKABUGO,11311305,17583,20387.0,86.2,37970.0,HF0955
Wakiso Epi Centre HC III GOVT,HC III,Government,MOH,Functional,32.46871,0.35999,GREATER KAMPALA,WAKISO,BUSIRO,WAKISO,113113,BUSIRO COUNTY EAST,WAKISO,BUSIRO,WAKISO,BUKASA,11311301,5982,5891.0,101.5,11873.0,HF0956
Wakiso HC IV,HC IV,Government,MOH,Functional,32.4774,0.39639,GREATER KAMPALA,WAKISO,BUSIRO,WAKISO TOWN COUNCIL,113114,BUSIRO COUNTY EAST,WAKISO,BUSIRO,WAKISO TOWN COUNCIL,MPUNGA WARD,11311405,3626,4199.0,86.4,7825.0,HF0957
Arute HC II,HC II,Government,MOH,Functional,33.76773,1.96781,TESO,AMURIA,AMURIA,ABARILELA,216101,AMURIA COUNTY,AMURIA,AMURIA,ABARILELA,ARUTE,21610101,1740,1925.0,90.4,3665.0,HF0958
Ongutoi HC III,HC III,Private Not For Profit,CSO,Functional,33.80838,1.88767,TESO,AMURIA,AMURIA,ABARILELA,216101,AMURIA COUNTY,AMURIA,AMURIA,ABARILELA,ASILANG,21610102,1693,1736.0,97.5,3429.0,HF0959
Abarilela HC III,HC III,Government,MOH,Functional,33.81817,1.962,TESO,AMURIA,AMURIA,ABARILELA,216101,AMURIA COUNTY,AMURIA,AMURIA,ABARILELA,DODOS,21610103,1485,1646.0,90.2,3131.0,HF0960
Ajeleik HC II,HC II,Government,MOH,Functional,33.85938,2.04775,TESO,AMURIA,KAPELEBYONG,ACOWA,216201,KAPELEBYONG COUNTY,AMURIA,KAPELEBYONG,ACOWA,AKUM,21620103,2722,2798.0,97.3,5520.0,HF0961
Angerepo HC II,HC II,Government,MOH,Functional,33.8577,2.0068,TESO,AMURIA,KAPELEBYONG,AKOROMIT,216202,KAPELEBYONG COUNTY,AMURIA,KAPELEBYONG,AKOROMIT,ANGEREPO,21620205,1331,1469.0,90.6,2800.0,HF0962
Acowa HC III,HC III,Government,MOH,Functional,33.79804,2.07524,TESO,AMURIA,KAPELEBYONG,ACOWA,216201,KAPELEBYONG COUNTY,AMURIA,KAPELEBYONG,ACOWA,ACOWA,21620102,2556,2609.0,98.0,5165.0,HF0963
Akeriau HC II,HC II,Government,MOH,Functional,33.38839,2.03784,TESO,AMURIA,AMURIA,AKERIAU,216102,ORUNGO COUNTY,AMURIA,AMURIA,AKERIAU,TEMELE,21610205,1010,1123.0,89.9,2133.0,HF0964
Amuria C.O.U HC II,HC II,Private Not For Profit,,Functional,33.63566,2.06063,TESO,AMURIA,AMURIA,AMURIA TOWN COUNCIL,216103,AMURIA COUNTY,AMURIA,AMURIA,AMURIA TOWN COUNCIL,ALIRA,21610302,1094,1202.0,91.0,2296.0,HF0965
